alt,callsign,dest_iata,dest_icao,eta,flight,fr24_id,gspeed,hex,lat,lon,operating_as,orig_iata,orig_icao,painted_as,reg,source,squawk,timestamp,track,type,vspeed,target_type_secondary
0,N7336J,,,,,26ed7111,85,A9D963,24.55644,-81.74979,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:14:00Z,87,P28A,704,PIPER PA-28-140/150/160/180
0,N7336J,,,,,26ed7111,82,A9D963,24.55586,-81.7453,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:14:11Z,112,P28A,256,PIPER PA-28-140/150/160/180
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,0,A71785,24.55486,-81.75694,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:14:05Z,159,SW4,0,SWEARINGEN Metro
0,N425JB,,,,,26ed7577,76,A50EFC,24.55612,-81.7635,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:14:12Z,92,C425,0,Cessna 425 Conquest I
0,N7336J,,,,,26ed7111,87,A9D963,24.55375,-81.74274,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:14:19Z,144,P28A,384,PIPER PA-28-140/150/160/180
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,0,A71785,24.55486,-81.75694,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:14:05Z,159,SW4,0,SWEARINGEN Metro
0,N425JB,,,,,26ed7577,94,A50EFC,24.55614,-81.76167,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:14:16Z,92,C425,0,Cessna 425 Conquest I
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,0,A71785,24.55486,-81.75694,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:14:05Z,159,SW4,0,SWEARINGEN Metro
200,N7336J,,,,,26ed7111,86,A9D963,24.54993,-81.74134,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:14:29Z,172,P28A,640,PIPER PA-28-140/150/160/180
0,N425JB,,,,,26ed7577,105,A50EFC,24.55653,-81.75459,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:14:29Z,92,C425,0,Cessna 425 Conquest I
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,0,A71785,24.55486,-81.75694,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:14:05Z,159,SW4,0,SWEARINGEN Metro
200,N7336J,,,,,26ed7111,98,A9D963,24.54588,-81.74186,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:14:39Z,197,P28A,192,PIPER PA-28-140/150/160/180
525,N425JB,,,,,26ed7577,110,A50EFC,24.55938,-81.74963,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:14:40Z,39,C425,2496,Cessna 425 Conquest I
875,N425JB,,,,,26ed7577,127,A50EFC,24.56548,-81.74734,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:14:52Z,5,C425,1664,Cessna 425 Conquest I
400,N7336J,,,,,26ed7111,104,A9D963,24.54122,-81.74641,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:14:52Z,239,P28A,576,PIPER PA-28-140/150/160/180
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,0,A71785,24.55486,-81.75694,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:14:05Z,159,SW4,0,SWEARINGEN Metro
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,0,A71785,24.55486,-81.75694,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:14:05Z,159,SW4,0,SWEARINGEN Metro
400,N7336J,,,,,26ed7111,112,A9D963,24.53998,-81.75064,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:15:00Z,259,P28A,384,PIPER PA-28-140/150/160/180
1025,N425JB,,,,,26ed7577,136,A50EFC,24.56927,-81.74799,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:14:58Z,347,C425,1664,Cessna 425 Conquest I
1550,N425JB,,,,,26ed7577,130,A50EFC,24.57767,-81.75056,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:15:12Z,341,C425,2048,Cessna 425 Conquest I
500,N7336J,,,,,26ed7111,118,A9D963,24.53957,-81.75766,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:15:12Z,268,P28A,-128,PIPER PA-28-140/150/160/180
500,N7336J,,,,,26ed7111,119,A9D963,24.53959,-81.76109,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:15:18Z,271,P28A,768,PIPER PA-28-140/150/160/180
