time,latitude,longitude,height_msl
2025-09-10 18:28:07.500,39.195076541,-77.257347360,161.3606
2025-09-10 18:28:07.600,39.195076580,-77.257347274,161.3487
2025-09-10 18:28:07.700,39.195076568,-77.257347262,161.3515
2025-09-10 18:28:07.800,39.195076598,-77.257347249,161.3522
2025-09-10 18:28:08.000,39.195076562,-77.257347189,161.3530
2025-09-10 18:28:08.100,39.195076596,-77.257347172,161.3501
2025-09-10 18:28:08.200,39.195076602,-77.257347151,161.3522
2025-09-10 18:28:08.300,39.195076598,-77.257347123,161.3489
2025-09-10 18:28:08.400,39.195076623,-77.257347083,161.3461
2025-09-10 18:28:08.500,39.195076622,-77.257347094,161.3520
2025-09-10 18:28:08.600,39.195076635,-77.257347057,161.3471
2025-09-10 18:28:08.700,39.195076623,-77.257347031,161.3495
2025-09-10 18:28:08.800,39.195076620,-77.257346997,161.3441
2025-09-10 18:28:08.900,39.195076649,-77.257346974,161.3476
2025-09-10 18:28:09.000,39.195076659,-77.257346954,161.3471
2025-09-10 18:28:09.100,39.195076673,-77.257346931,161.3431
2025-09-10 18:28:09.200,39.195076715,-77.257346894,161.3480
2025-09-10 18:28:09.300,39.195076717,-77.257346852,161.3443
2025-09-10 18:28:09.400,39.195076750,-77.257346815,161.3407
2025-09-10 18:28:09.600,39.195076805,-77.257346735,161.3380
2025-09-10 18:28:09.700,39.195076832,-77.257346707,161.3346
2025-09-10 18:28:09.800,39.195076847,-77.257346681,161.3325
2025-09-10 18:28:09.900,39.195076926,-77.257346620,161.3239
2025-09-10 18:28:10.000,39.195076911,-77.257346607,161.3231
2025-09-10 18:28:10.100,39.195076929,-77.257346579,161.3193
2025-09-10 18:28:10.400,39.195077102,-77.257346643,161.3444
2025-09-10 18:28:10.500,39.195077202,-77.257346643,161.3640
2025-09-10 18:28:10.600,39.195077108,-77.257346549,161.3513
2025-09-10 18:28:10.700,39.195077131,-77.257346721,161.3503
2025-09-10 18:28:10.800,39.195077014,-77.257346697,161.3350
2025-09-10 18:28:10.900,39.195077072,-77.257346782,161.3629
2025-09-10 18:28:11.200,39.195077034,-77.257346780,161.3754
2025-09-10 18:28:11.400,39.195077111,-77.257346845,161.4002
2025-09-10 18:28:11.500,39.195077255,-77.257346797,161.4177
2025-09-10 18:28:11.600,39.195077261,-77.257347030,161.4177
2025-09-10 18:28:11.700,39.195077320,-77.257347405,161.4834
2025-09-10 18:28:11.800,39.195077755,-77.257347404,161.5191
2025-09-10 18:28:11.900,39.195078234,-77.257347755,161.5300
2025-09-10 18:28:12.000,39.195078406,-77.257347940,161.5253
2025-09-10 18:28:12.100,39.195079044,-77.257348230,161.5311
2025-09-10 18:28:12.200,39.195079532,-77.257348871,161.5462
2025-09-10 18:28:12.500,39.195082463,-77.257349595,161.5162
2025-09-10 18:28:12.800,39.195084981,-77.257349812,161.4711
2025-09-10 18:28:12.900,39.195085396,-77.257350288,161.4879
2025-09-10 18:28:13.000,39.195085843,-77.257351060,161.4967
2025-09-10 18:28:13.100,39.195086320,-77.257351879,161.5087
2025-09-10 18:28:13.200,39.195087058,-77.257352696,161.4855
2025-09-10 18:28:13.300,39.195087618,-77.257353416,161.4675
2025-09-10 18:28:13.400,39.195088500,-77.257353843,161.5028
2025-09-10 18:28:13.500,39.195089230,-77.257353953,161.4566
2025-09-10 18:28:13.600,39.195089864,-77.257354310,161.4597
2025-09-10 18:28:13.700,39.195090652,-77.257355057,161.3897
2025-09-10 18:28:13.800,39.195091533,-77.257356105,161.4084
2025-09-10 18:28:13.900,39.195092274,-77.257357160,161.4334
2025-09-10 18:28:14.000,39.195093016,-77.257358285,161.4804
2025-09-10 18:28:14.100,39.195093677,-77.257359409,161.5003
2025-09-10 18:28:14.200,39.195094041,-77.257360417,161.5055
2025-09-10 18:28:14.400,39.195094829,-77.257362520,161.4730
2025-09-10 18:28:14.500,39.195095329,-77.257363691,161.4985
2025-09-10 18:28:14.600,39.195095588,-77.257364696,161.5268
2025-09-10 18:28:14.700,39.195096114,-77.257365656,161.5529
2025-09-10 18:28:14.800,39.195096466,-77.257366743,161.5025
2025-09-10 18:28:14.900,39.195096883,-77.257367878,161.4824
2025-09-10 18:28:15.000,39.195097358,-77.257369061,161.4776
2025-09-10 18:28:15.100,39.195097985,-77.257370372,161.4891
2025-09-10 18:28:15.200,39.195098550,-77.257371546,161.5406
2025-09-10 18:28:15.300,39.195098728,-77.257372691,161.5877
2025-09-10 18:28:15.400,39.195099106,-77.257373825,161.5882
2025-09-10 18:28:15.500,39.195099507,-77.257375165,161.5493
2025-09-10 18:28:15.600,39.195099915,-77.257376468,161.5478
2025-09-10 18:28:15.700,39.195100117,-77.257377524,161.5496
2025-09-10 18:28:15.800,39.195100361,-77.257378484,161.5789
2025-09-10 18:28:15.900,39.195100674,-77.257379124,161.5748
2025-09-10 18:28:16.000,39.195101235,-77.257380346,161.5160
2025-09-10 18:28:16.100,39.195101799,-77.257381350,161.4578
2025-09-10 18:28:16.200,39.195102421,-77.257382548,161.4538
2025-09-10 18:28:16.300,39.195103101,-77.257383618,161.4974
2025-09-10 18:28:16.400,39.195103734,-77.257384808,161.5155
2025-09-10 18:28:16.500,39.195104247,-77.257386094,161.5296
2025-09-10 18:28:16.600,39.195104657,-77.257387190,161.5127
2025-09-10 18:28:16.700,39.195105003,-77.257388344,161.4916
2025-09-10 18:28:16.800,39.195105318,-77.257389385,161.4844
2025-09-10 18:28:16.900,39.195105832,-77.257390398,161.5185
2025-09-10 18:28:17.000,39.195106174,-77.257391321,161.5408
2025-09-10 18:28:17.100,39.195106643,-77.257392093,161.5145
2025-09-10 18:28:17.300,39.195107895,-77.257394258,161.3894
2025-09-10 18:28:17.400,39.195108667,-77.257395564,161.4226
2025-09-10 18:28:17.500,39.195109322,-77.257396532,161.4877
2025-09-10 18:28:17.600,39.195109905,-77.257397763,161.5272
2025-09-10 18:28:17.700,39.195110409,-77.257398664,161.4928
2025-09-10 18:28:17.800,39.195110929,-77.257399748,161.4382
2025-09-10 18:28:17.900,39.195111310,-77.257400962,161.4601
2025-09-10 18:28:18.000,39.195112019,-77.257401999,161.5242
2025-09-10 18:28:18.100,39.195112721,-77.257402765,161.5450
2025-09-10 18:28:18.200,39.195112980,-77.257403292,161.5479
2025-09-10 18:28:18.300,39.195113588,-77.257404296,161.5186
2025-09-10 18:28:18.400,39.195114059,-77.257405067,161.4933
2025-09-10 18:28:18.500,39.195115030,-77.257406447,161.5177
2025-09-10 18:28:18.600,39.195116050,-77.257407826,161.5601
2025-09-10 18:28:18.700,39.195116428,-77.257409106,161.6558
2025-09-10 18:28:18.800,39.195116713,-77.257410261,161.6560
2025-09-10 18:28:18.900,39.195117362,-77.257411456,161.6401
2025-09-10 18:28:19.000,39.195118134,-77.257412809,161.5995
2025-09-10 18:28:19.100,39.195118645,-77.257413964,161.5982
2025-09-10 18:28:19.200,39.195119137,-77.257415025,161.6344
2025-09-10 18:28:19.400,39.195120107,-77.257416373,161.6385
2025-09-10 18:28:19.500,39.195120910,-77.257417483,161.5631
2025-09-10 18:28:19.600,39.195121717,-77.257418589,161.5220
2025-09-10 18:28:19.700,39.195122667,-77.257419518,161.5654
2025-09-10 18:28:19.800,39.195123087,-77.257420352,161.6170
2025-09-10 18:28:19.900,39.195123729,-77.257421272,161.6886
2025-09-10 18:28:20.000,39.195124328,-77.257422471,161.6726
2025-09-10 18:28:20.100,39.195125120,-77.257423518,161.5932
2025-09-10 18:28:20.200,39.195125735,-77.257424832,161.6072
2025-09-10 18:28:20.300,39.195126252,-77.257425764,161.6359
2025-09-10 18:28:20.400,39.195127060,-77.257426718,161.6470
2025-09-10 18:28:20.500,39.195127541,-77.257427488,161.6605
2025-09-10 18:28:20.600,39.195128313,-77.257428100,161.5945
2025-09-10 18:28:20.700,39.195129099,-77.257429136,161.5961
2025-09-10 18:28:20.800,39.195130080,-77.257430192,161.6261
2025-09-10 18:28:20.900,39.195130887,-77.257431122,161.7429
2025-09-10 18:28:21.000,39.195131542,-77.257432002,161.7968
2025-09-10 18:28:21.100,39.195132120,-77.257433347,161.7929
2025-09-10 18:28:21.200,39.195132816,-77.257434160,161.7671
2025-09-10 18:28:21.300,39.195133711,-77.257435207,161.7668
2025-09-10 18:28:21.400,39.195134278,-77.257436119,161.8099
2025-09-10 18:28:21.500,39.195134883,-77.257436959,161.8099
2025-09-10 18:28:21.600,39.195135376,-77.257437745,161.8339
2025-09-10 18:28:21.700,39.195136002,-77.257438694,161.7525
2025-09-10 18:28:21.800,39.195137009,-77.257439688,161.7692
2025-09-10 18:28:21.900,39.195137843,-77.257440806,161.7965
2025-09-10 18:28:22.000,39.195138582,-77.257441946,161.8278
2025-09-10 18:28:22.100,39.195139006,-77.257443021,161.8776
2025-09-10 18:28:22.200,39.195139360,-77.257444120,161.8575
2025-09-10 18:28:22.300,39.195140040,-77.257445429,161.8470
2025-09-10 18:28:22.400,39.195140659,-77.257446626,161.8086
2025-09-10 18:28:22.500,39.195141367,-77.257447699,161.8435
2025-09-10 18:28:22.600,39.195141859,-77.257448397,161.8380
2025-09-10 18:28:22.700,39.195142201,-77.257449136,161.8788
2025-09-10 18:28:22.800,39.195142867,-77.257450065,161.8819
2025-09-10 18:28:22.900,39.195143771,-77.257451015,161.8357
2025-09-10 18:28:23.000,39.195144625,-77.257452150,161.8015
2025-09-10 18:28:23.100,39.195145430,-77.257453079,161.8561
2025-09-10 18:28:23.200,39.195146030,-77.257454042,161.9021
2025-09-10 18:28:23.300,39.195146509,-77.257455011,161.9189
2025-09-10 18:28:23.400,39.195147188,-77.257456088,161.8816
2025-09-10 18:28:23.500,39.195147903,-77.257457188,161.8624
2025-09-10 18:28:23.600,39.195148506,-77.257458273,161.8302
2025-09-10 18:28:23.700,39.195149160,-77.257459109,161.8959
2025-09-10 18:28:23.800,39.195149453,-77.257459856,161.8815
2025-09-10 18:28:23.900,39.195150050,-77.257460672,161.8395
2025-09-10 18:28:24.000,39.195150463,-77.257461649,161.8413
2025-09-10 18:28:24.100,39.195151232,-77.257462707,161.8155
2025-09-10 18:28:24.200,39.195151963,-77.257463518,161.8429
2025-09-10 18:28:24.300,39.195152906,-77.257464816,161.8580
2025-09-10 18:28:24.600,39.195154239,-77.257468382,161.7966
2025-09-10 18:28:24.700,39.195154505,-77.257469653,161.7892
2025-09-10 18:28:24.800,39.195154541,-77.257470416,161.7488
2025-09-10 18:28:24.900,39.195154468,-77.257471247,161.8090
2025-09-10 18:28:25.000,39.195154420,-77.257471682,161.8069
2025-09-10 18:28:25.100,39.195154558,-77.257472686,161.8084
2025-09-10 18:28:25.400,39.195155796,-77.257476387,161.8834
2025-09-10 18:28:25.500,39.195156692,-77.257477249,161.8738
2025-09-10 18:28:25.600,39.195156600,-77.257477949,161.8673
2025-09-10 18:28:26.000,39.195157667,-77.257480391,161.8322
2025-09-10 18:28:26.100,39.195158008,-77.257480654,161.8223
2025-09-10 18:28:26.200,39.195158045,-77.257481027,161.8163
2025-09-10 18:28:26.300,39.195157854,-77.257481356,161.8134
2025-09-10 18:28:26.500,39.195159269,-77.257482659,161.8340
2025-09-10 18:28:26.600,39.195158711,-77.257483077,161.8798
2025-09-10 18:28:26.800,39.195159041,-77.257482363,161.9506
2025-09-10 18:28:26.900,39.195159995,-77.257481726,161.9322
2025-09-10 18:28:27.000,39.195160287,-77.257480325,161.9842
2025-09-10 18:28:27.100,39.195159748,-77.257479571,162.2452
2025-09-10 18:28:27.300,39.195159692,-77.257475077,162.2909
2025-09-10 18:28:27.400,39.195159330,-77.257473572,162.3176
2025-09-10 18:28:27.500,39.195159035,-77.257472471,162.3362
2025-09-10 18:28:27.600,39.195158582,-77.257471050,162.2938
2025-09-10 18:28:27.700,39.195158079,-77.257469775,162.2621
2025-09-10 18:28:27.800,39.195157658,-77.257469061,162.3274
2025-09-10 18:28:27.900,39.195157366,-77.257468306,162.3947
2025-09-10 18:28:28.000,39.195157408,-77.257467474,162.3842
2025-09-10 18:28:28.100,39.195156947,-77.257466643,162.4220
2025-09-10 18:28:28.200,39.195156973,-77.257465379,162.4261
2025-09-10 18:28:28.300,39.195156212,-77.257464098,162.4045
2025-09-10 18:28:28.400,39.195155749,-77.257462771,162.3813
2025-09-10 18:28:28.500,39.195155290,-77.257461338,162.4320
2025-09-10 18:28:28.600,39.195154676,-77.257459713,162.4164
2025-09-10 18:28:28.700,39.195154075,-77.257458239,162.3205
2025-09-10 18:28:28.800,39.195153331,-77.257456528,162.3167
2025-09-10 18:28:29.000,39.195151855,-77.257454956,162.4044
2025-09-10 18:28:29.100,39.195151442,-77.257454374,162.4439
2025-09-10 18:28:29.200,39.195151369,-77.257453723,162.3754
2025-09-10 18:28:29.300,39.195151145,-77.257452926,162.3827
2025-09-10 18:28:29.400,39.195150679,-77.257452133,162.4210
2025-09-10 18:28:29.500,39.195150219,-77.257451334,162.3753
2025-09-10 18:28:29.600,39.195149826,-77.257450215,162.4377
2025-09-10 18:28:29.700,39.195149323,-77.257448619,162.5125
2025-09-10 18:28:29.800,39.195149449,-77.257446696,162.4648
2025-09-10 18:28:30.000,39.195147656,-77.257445197,162.4564
2025-09-10 18:28:30.200,39.195146242,-77.257444953,162.5840
2025-09-10 18:28:30.300,39.195146431,-77.257444465,162.5224
2025-09-10 18:28:30.400,39.195145608,-77.257444133,162.5776
2025-09-10 18:28:30.500,39.195145370,-77.257443373,162.6349
2025-09-10 18:28:30.600,39.195144919,-77.257442673,162.6447
2025-09-10 18:28:30.700,39.195144283,-77.257441579,162.6660
2025-09-10 18:28:30.800,39.195143133,-77.257440638,162.6799
2025-09-10 18:28:30.900,39.195142777,-77.257439256,162.7110
2025-09-10 18:28:31.000,39.195142172,-77.257438380,162.6981
2025-09-10 18:28:31.100,39.195141187,-77.257438458,162.6757
2025-09-10 18:28:31.200,39.195139624,-77.257438920,162.7162
2025-09-10 18:28:31.300,39.195139789,-77.257439035,162.7892
2025-09-10 18:28:31.400,39.195139589,-77.257438965,162.7371
2025-09-10 18:28:31.500,39.195138692,-77.257438885,162.7921
2025-09-10 18:28:31.600,39.195137628,-77.257438936,162.8231
2025-09-10 18:28:31.700,39.195137182,-77.257437936,162.8365
2025-09-10 18:28:31.800,39.195136617,-77.257436821,162.8609
2025-09-10 18:28:31.900,39.195136305,-77.257435449,162.9002
2025-09-10 18:28:32.000,39.195135203,-77.257434272,162.9205
2025-09-10 18:28:32.100,39.195134022,-77.257433376,162.9598
2025-09-10 18:28:32.200,39.195133265,-77.257433053,162.9869
2025-09-10 18:28:32.400,39.195132677,-77.257432585,163.0908
2025-09-10 18:28:32.500,39.195132270,-77.257431991,163.1272
2025-09-10 18:28:32.600,39.195131893,-77.257432024,163.1842
2025-09-10 18:28:32.700,39.195131862,-77.257431395,163.3557
2025-09-10 18:28:32.800,39.195131603,-77.257430448,163.5451
2025-09-10 18:28:33.300,39.195127759,-77.257423689,163.6528
2025-09-10 18:28:33.400,39.195127188,-77.257423078,163.7296
2025-09-10 18:28:33.500,39.195127166,-77.257422847,163.7679
2025-09-10 18:28:33.700,39.195126631,-77.257421354,163.9034
2025-09-10 18:28:33.800,39.195126291,-77.257420463,163.8674
2025-09-10 18:28:33.900,39.195126080,-77.257419458,163.8231
2025-09-10 18:28:34.000,39.195125563,-77.257418113,163.7692
2025-09-10 18:28:34.100,39.195125313,-77.257416336,163.7286
2025-09-10 18:28:34.200,39.195124809,-77.257414287,163.7236
2025-09-10 18:28:34.400,39.195123633,-77.257410500,163.7122
2025-09-10 18:28:34.500,39.195123466,-77.257409144,163.6827
2025-09-10 18:28:34.700,39.195122846,-77.257407905,163.8056
2025-09-10 18:28:34.900,39.195122704,-77.257405928,163.7487
2025-09-10 18:28:35.000,39.195122380,-77.257405015,163.8145
2025-09-10 18:28:35.100,39.195122186,-77.257403715,163.8078
2025-09-10 18:28:35.200,39.195122617,-77.257401795,163.8078
2025-09-10 18:28:35.300,39.195121932,-77.257400172,163.7779
2025-09-10 18:28:35.500,39.195120815,-77.257396914,163.8475
2025-09-10 18:28:35.600,39.195120366,-77.257395789,163.8531
2025-09-10 18:28:35.800,39.195120195,-77.257394578,163.8617
2025-09-10 18:28:35.900,39.195120322,-77.257393679,163.8047
2025-09-10 18:28:36.100,39.195119760,-77.257391511,163.8113
2025-09-10 18:28:36.200,39.195119828,-77.257390093,163.8070
2025-09-10 18:28:36.300,39.195119965,-77.257388007,163.7403
2025-09-10 18:28:36.400,39.195119844,-77.257386299,163.7015
2025-09-10 18:28:36.500,39.195119699,-77.257384531,163.7553
2025-09-10 18:28:36.700,39.195119097,-77.257381946,163.7026
2025-09-10 18:28:36.800,39.195118720,-77.257381204,163.7418
2025-09-10 18:28:36.900,39.195118760,-77.257380580,163.7745
2025-09-10 18:28:37.000,39.195119019,-77.257379337,163.6960
2025-09-10 18:28:37.100,39.195119150,-77.257378005,163.6238
2025-09-10 18:28:37.200,39.195118807,-77.257376505,163.5609
2025-09-10 18:28:37.300,39.195118663,-77.257374976,163.5045
2025-09-10 18:28:37.400,39.195118605,-77.257373765,163.4271
2025-09-10 18:28:37.500,39.195118678,-77.257372675,163.4705
2025-09-10 18:28:37.600,39.195118714,-77.257372445,163.4300
2025-09-10 18:28:37.700,39.195118050,-77.257371327,163.3298
2025-09-10 18:28:38.000,39.195116766,-77.257367505,163.3658
2025-09-10 18:28:38.200,39.195115905,-77.257365215,163.4630
2025-09-10 18:28:38.300,39.195115621,-77.257363651,163.3924
2025-09-10 18:28:38.400,39.195114588,-77.257362744,163.3281
2025-09-10 18:28:38.500,39.195114010,-77.257361698,163.2973
2025-09-10 18:28:38.600,39.195113391,-77.257360167,163.3555
2025-09-10 18:28:38.700,39.195113214,-77.257359523,163.3886
2025-09-10 18:28:38.800,39.195112773,-77.257358556,163.3285
2025-09-10 18:28:39.100,39.195110932,-77.257355519,163.3170
2025-09-10 18:28:39.200,39.195110248,-77.257354182,163.3924
2025-09-10 18:28:39.300,39.195109515,-77.257353351,163.3289
2025-09-10 18:28:39.400,39.195108718,-77.257352166,163.4134
