$GNRMC,174855.00,A,3902.65864,N,07730.59052,W,1.132,,011125,,,A*78
$GNRMC,174856.00,A,3902.65879,N,07730.58980,W,1.317,,011125,,,A*75
$GNRMC,174857.00,A,3902.65881,N,07730.58952,W,1.167,,011125,,,A*79
$GNRMC,174858.00,A,3902.65927,N,07730.58884,W,1.665,,011125,,,A*74
$GNRMC,174859.00,A,3902.65923,N,07730.58864,W,1.452,,011125,,,A*79
$GNRMC,174900.00,A,3902.65901,N,07730.58880,W,0.898,,011125,,,A*75
$GNRMC,174901.00,A,3902.65868,N,07730.58906,W,0.353,,011125,,,A*79
$GNRMC,174902.00,A,3902.65898,N,07730.58828,W,0.868,,011125,,,A*7B
$GNRMC,174903.00,A,3902.65852,N,07730.58897,W,0.054,,011125,,,A*7F
$GNRMC,174904.00,A,3902.65875,N,07730.58850,W,0.475,,011125,,,A*71
$GNRMC,174905.00,A,3902.65827,N,07730.58888,W,0.158,,011125,,,A*78
$GNRMC,174906.00,A,3902.65710,N,07730.59033,W,1.502,,011125,,,A*73
$GNRMC,174907.00,A,3902.65684,N,07730.59095,W,1.399,,011125,,,A*76
$GNRMC,174908.00,A,3902.65664,N,07730.59200,W,1.700,,011125,,,A*7D
$GNRMC,174909.00,A,3902.65669,N,07730.59180,W,0.894,,011125,,,A*79
$GNRMC,174910.00,A,3902.65622,N,07730.59240,W,1.190,,011125,,,A*7D
$GNRMC,174911.00,A,3902.65609,N,07730.59264,W,1.102,,011125,,,A*78
$GNRMC,174912.00,A,3902.65603,N,07730.59274,W,0.950,,011125,,,A*7E
