$GNGLL,3902.66023,N,07730.59035,W,174751.00,A,A*64
$GNGLL,3902.65997,N,07730.59034,W,174752.00,A,A*63
$GNGLL,3902.65987,N,07730.59049,W,174753.00,A,A*69
$GNGLL,3902.65972,N,07730.59137,W,174754.00,A,A*6C
$GNGLL,3902.66004,N,07730.59115,W,174755.00,A,A*66
$GNGLL,3902.65999,N,07730.59104,W,174756.00,A,A*6B
$GNGLL,3902.65945,N,07730.59158,W,174757.00,A,A*62
$GNGLL,3902.65913,N,07730.59148,W,174758.00,A,A*6F
$GNGLL,3902.65912,N,07730.59172,W,174759.00,A,A*66
$GNGLL,3902.65922,N,07730.59170,W,174800.00,A,A*64
$GNGLL,3902.65923,N,07730.59170,W,174801.00,A,A*64
$GNGLL,3902.65931,N,07730.59102,W,174802.00,A,A*61
$GNGLL,3902.65974,N,07730.59095,W,174803.00,A,A*6E
$GNGLL,3902.65966,N,07730.59082,W,174804.00,A,A*6C
$GNGLL,3902.65974,N,07730.59076,W,174805.00,A,A*65
$GNGLL,3902.65985,N,07730.59081,W,174806.00,A,A*60
$GNGLL,3902.66007,N,07730.59120,W,174807.00,A,A*6B
$GNGLL,3902.66024,N,07730.59141,W,174808.00,A,A*62
$GNGLL,3902.66056,N,07730.59124,W,174809.00,A,A*65
$GNGLL,3902.66058,N,07730.59108,W,174810.00,A,A*6D
$GNGLL,3902.66066,N,07730.59145,W,174811.00,A,A*68
$GNGLL,3902.66097,N,07730.59159,W,174812.00,A,A*68
$GNGLL,3902.66126,N,07730.59276,W,174813.00,A,A*6C
$GNGLL,3902.66157,N,07730.59346,W,174814.00,A,A*6F
$GNGLL,3902.66188,N,07730.59283,W,174815.00,A,A*64
$GNGLL,3902.66181,N,07730.59244,W,174816.00,A,A*65
$GNGLL,3902.66230,N,07730.59210,W,174817.00,A,A*6C
$GNGLL,3902.66277,N,07730.59208,W,174818.00,A,A*69
$GNGLL,3902.66255,N,07730.59249,W,174819.00,A,A*6D
$GNGLL,3902.66202,N,07730.59305,W,174820.00,A,A*6C
$GNGLL,3902.66208,N,07730.59350,W,174821.00,A,A*67
$GNGLL,3902.66192,N,07730.59306,W,174822.00,A,A*67
$GNGLL,3902.66164,N,07730.59359,W,174823.00,A,A*65
$GNGLL,3902.66134,N,07730.59368,W,174824.00,A,A*65
$GNGLL,3902.66129,N,07730.59411,W,174825.00,A,A*61
$GNGLL,3902.66167,N,07730.59438,W,174826.00,A,A*63
$GNGLL,3902.66140,N,07730.59495,W,174827.00,A,A*60
$GNGLL,3902.66133,N,07730.59640,W,174828.00,A,A*61
$GNGLL,3902.66145,N,07730.59707,W,174829.00,A,A*63
$GNGLL,3902.66175,N,07730.59702,W,174830.00,A,A*6D
$GNGLL,3902.66172,N,07730.59709,W,174831.00,A,A*60
$GNGLL,3902.66148,N,07730.59712,W,174832.00,A,A*60
$GNGLL,3902.66162,N,07730.59662,W,174833.00,A,A*6F
$GNGLL,3902.66204,N,07730.59646,W,174834.00,A,A*6D
$GNGLL,3902.66186,N,07730.59657,W,174835.00,A,A*65
$GNGLL,3902.66173,N,07730.59693,W,174836.00,A,A*64
$GNGLL,3902.66163,N,07730.59699,W,174837.00,A,A*6E
$GNGLL,3902.66085,N,07730.59739,W,174838.00,A,A*63
$GNGLL,3902.66035,N,07730.59750,W,174839.00,A,A*66
$GNGLL,3902.65981,N,07730.59780,W,174840.00,A,A*60
$GNGLL,3902.65967,N,07730.59774,W,174841.00,A,A*62
$GNGLL,3902.65934,N,07730.59788,W,174842.00,A,A*64
$GNGLL,3902.65900,N,07730.59712,W,174843.00,A,A*61
$GNGLL,3902.65889,N,07730.59676,W,174844.00,A,A*65
$GNGLL,3902.65880,N,07730.59711,W,174845.00,A,A*6D
$GNGLL,3902.65825,N,07730.59705,W,174846.00,A,A*64
$GNGLL,3902.65798,N,07730.59682,W,174847.00,A,A*62
$GNGLL,3902.65853,N,07730.59531,W,174848.00,A,A*6E
$GNGLL,3902.65862,N,07730.59500,W,174849.00,A,A*6F
$GNGLL,3902.65866,N,07730.59422,W,174850.00,A,A*62
$GNGLL,3902.65863,N,07730.59314,W,174851.00,A,A*64
$GNGLL,3902.65940,N,07730.59173,W,174852.00,A,A*64
$GNGLL,3902.65887,N,07730.59116,W,174853.00,A,A*6C
$GNGLL,3902.65838,N,07730.59043,W,174854.00,A,A*6E
$GNGLL,3902.65864,N,07730.59052,W,174855.00,A,A*66
$GNGLL,3902.65879,N,07730.58980,W,174856.00,A,A*6E
$GNGLL,3902.65881,N,07730.58952,W,174857.00,A,A*67
$GNGLL,3902.65927,N,07730.58884,W,174858.00,A,A*6F
$GNGLL,3902.65923,N,07730.58864,W,174859.00,A,A*64
$GNGLL,3902.65901,N,07730.58880,W,174900.00,A,A*63
$GNGLL,3902.65868,N,07730.58906,W,174901.00,A,A*63
$GNGLL,3902.65898,N,07730.58828,W,174902.00,A,A*62
$GNGLL,3902.65852,N,07730.58897,W,174903.00,A,A*61
$GNGLL,3902.65875,N,07730.58850,W,174904.00,A,A*68
$GNGLL,3902.65827,N,07730.58888,W,174905.00,A,A*6B
$GNGLL,3902.65710,N,07730.59033,W,174906.00,A,A*6A
$GNGLL,3902.65684,N,07730.59095,W,174907.00,A,A*6B
$GNGLL,3902.65664,N,07730.59200,W,174908.00,A,A*64
$GNGLL,3902.65669,N,07730.59180,W,174909.00,A,A*63
$GNGLL,3902.65622,N,07730.59240,W,174910.00,A,A*6B
$GNGLL,3902.65609,N,07730.59264,W,174911.00,A,A*65
