$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,*4E
$GPGSV,2,2,08,26,48,186,30,28,66,028,30,29,10,088,,32,47,102,29*76
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,*4E
$GPGSV,2,2,08,26,48,186,29,28,66,028,29,29,10,088,,32,47,102,29*76
$GPGSV,2,1,08,04,07,300,,10,,,27,16,12,196,,25,24,046,*4F
$GPGSV,2,2,08,26,48,186,31,28,66,028,31,29,10,088,,32,47,102,29*76
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,*4E
$GPGSV,2,2,08,26,48,186,30,28,66,028,30,29,10,088,,32,47,102,29*76
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,*4D
$GPGSV,2,2,08,26,49,186,30,28,66,028,29,29,10,088,,32,47,102,28*7E
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,*4D
$GPGSV,2,2,08,26,49,186,29,28,65,029,29,29,10,088,,32,47,102,28*74
$GPGSV,2,1,08,04,07,300,,10,,,24,16,12,196,,25,24,046,*4C
$GPGSV,2,2,08,26,49,186,30,28,65,029,29,29,10,088,,32,47,102,28*7C
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,*4D
$GPGSV,2,2,08,26,49,186,29,28,65,029,29,29,10,088,,32,47,102,28*74
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,*4E
$GPGSV,2,2,08,26,49,186,30,28,65,029,30,29,10,088,,32,47,102,28*74
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,*4E
$GPGSV,2,2,08,26,49,186,30,28,65,029,31,29,10,088,,32,47,102,28*75
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,*4E
$GPGSV,2,2,08,26,49,186,30,28,65,029,31,29,10,088,,32,47,102,28*75
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,16*4A
$GPGSV,2,2,08,26,49,186,29,28,65,029,30,29,10,088,,32,47,102,27*73
$GPGSV,2,1,08,04,07,300,,10,,,24,16,12,196,,25,24,046,14*49
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,,32,47,102,26*7B
$GPGSV,2,1,08,04,07,300,,10,,,24,16,12,196,,25,24,046,11*4C
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,,32,47,102,25*78
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,09*47
$GPGSV,2,2,08,26,49,186,32,28,65,029,32,29,10,088,,32,47,102,28*74
$GPGSV,2,1,08,04,07,300,,10,,,27,16,12,196,,25,24,046,07*48
$GPGSV,2,2,08,26,49,186,32,28,65,029,32,29,10,088,,32,47,102,28*74
$GPGSV,2,1,08,04,07,300,,10,,,28,16,12,196,,25,24,046,07*47
$GPGSV,2,2,08,26,49,186,31,28,65,029,31,29,10,088,,32,47,102,28*74
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,08*46
$GPGSV,2,2,08,26,49,186,29,28,65,029,30,29,10,088,,32,47,102,26*72
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,08*46
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,,32,47,102,25*78
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,08*45
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,,32,47,102,25*78
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,07*49
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,,32,47,102,25*78
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,*4E
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,,32,47,102,25*78
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,*4E
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,,32,47,102,25*78
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,*4E
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,,32,47,102,25*78
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,*4E
$GPGSV,2,2,08,26,49,186,29,28,65,029,30,29,10,088,07,32,47,102,26*75
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,*4D
$GPGSV,2,2,08,26,49,186,27,28,65,029,28,29,10,088,08,32,47,102,24*7F
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,*4D
$GPGSV,2,2,08,26,49,186,27,28,65,029,28,29,10,088,12,32,47,102,24*74
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,*4D
$GPGSV,2,2,08,26,49,186,27,28,65,029,28,29,10,088,10,32,47,102,23*71
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,21*4E
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,12,32,47,102,23*7D
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,20*4F
$GPGSV,2,2,08,26,49,186,29,28,65,029,29,29,10,088,15,32,47,102,23*7B
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,19*46
$GPGSV,2,2,08,26,49,186,29,28,65,029,30,29,10,088,18,32,47,102,25*78
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,19*46
$GPGSV,2,2,08,26,49,186,30,28,65,029,30,29,10,088,19,32,47,102,26*72
$GPGSV,2,1,08,04,07,300,,10,,,26,16,12,196,,25,24,046,18*47
$GPGSV,2,2,08,26,49,186,29,28,65,029,30,29,10,088,20,32,47,102,25*73
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,18*44
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,19,32,47,102,26*73
$GPGSV,2,1,08,04,07,300,,10,,,25,16,12,196,,25,24,046,18*44
$GPGSV,2,2,08,26,49,186,28,28,65,029,30,29,10,088,19,32,47,102,26*7B
$GPGSV,2,1,08,04,07,300,,10,,,24,16,12,196,,25,24,046,18*45
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,18,32,47,102,26*72
$GPGSV,2,1,08,04,07,300,,10,,,23,16,12,196,,25,24,046,18*42
$GPGSV,2,2,08,26,49,186,27,28,65,029,29,29,10,088,18,32,47,102,26*7D
$GPGSV,2,1,08,04,07,300,,10,12,166,23,16,12,196,,25,24,046,18*70
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,17,32,47,102,26*7D
$GPGSV,2,1,08,04,07,300,,10,12,166,24,16,12,196,,25,24,046,16*79
$GPGSV,2,2,08,26,49,186,28,28,65,029,29,29,10,088,17,32,47,102,26*7D
